x,y,xt
0,0,0.0007692017637869475
0,1,0.0007692017637869475
0,2,0.0007692017637869475
0,3,0.0007692017637869475
0,4,0.0007733328305798436
0,5,0.0007815949641656356
0,6,0.0007898570977514278
0,7,0.0007981192313372199
0,8,0.0008063813649230122
0,9,0.0008146434985088042
0,10,0.0008229056320945965
0,11,0.0008353998502364992
0,12,0.0008521261529345129
0,13,0.0008688524556325263
0,14,0.0008855787583305399
0,15,0.0009023050610285535
0,16,0.000919031363726567
0,17,0.0009357576664245806
0,18,0.0009448574103821867
0,19,0.0009463305955993854
0,20,0.000947803780816584
0,21,0.0009492769660337828
0,22,0.0009507501512509816
0,23,0.0009522233364681802
0,24,0.000953696521685379
0,25,0.0009571171764899905
0,26,0.0009624853008820151
0,27,0.0009678534252740394
0,28,0.0009732215496660638
0,29,0.0009785896740580882
0,30,0.0009839577984501124
0,31,0.0009893259228421368
0,32,0.000981848650369116
0,33,0.00096152598103105
0,34,0.000941203311692984
0,35,0.000920880642354918
0,36,0.000900557973016852
0,37,0.000880235303678786
0,38,0.00085991263434072
0,39,0.0008464816725633695
0,40,0.0008399424183467344
0,41,0.0008334031641300992
0,42,0.000826863909913464
0,43,0.0008203246556968289
0,44,0.0008137854014801935
0,45,0.0008072461472635584
0,46,0.0008139569120381808
0,47,0.000833917695804061
0,48,0.0008538784795699409
0,49,0.0008738392633358209
0,50,0.0008938000471017009
0,51,0.000913760830867581
0,52,0.0009337216146334611
0,53,0.0009473325049765281
0,54,0.0009545935018967822
0,55,0.0009618544988170364
0,56,0.0009691154957372904
0,57,0.0009763764926575447
0,58,0.0009836374895777988
0,59,0.000990898486498053
0,60,0.0009929172769768213
0,61,0.0009896938610141038
0,62,0.0009864704450513865
0,63,0.0009832470290886692
0,64,0.0009800236131259517
0,65,0.0009768001971632342
0,66,0.0009735767812005169
0,67,0.00096983637734166
0,68,0.0009655789855866639
0,69,0.0009613215938316677
0,70,0.0009570642020766717
0,71,0.0009528068103216754
0,72,0.0009485494185666793
0,73,0.0009442920268116831
0,74,0.0009913479850464692
0,75,0.0010897172932710377
0,76,0.001188086601495606
0,77,0.0012864559097201748
0,78,0.0013848252179447446
0,79,0.0014831945261693132
0,80,0.0015815638343938817
0,81,0.0016307484885061659
0,82,0.0016307484885061659
0,83,0.0016307484885061659
0,84,0.0016307484885061659
1,0,0.0007692017637869475
1,1,0.0007692017637869475
1,2,0.0007692017637869475
1,3,0.0007692017637869475
1,4,0.0007733328305798436
1,5,0.0007815949641656356
1,6,0.0007898570977514278
1,7,0.0007981192313372199
1,8,0.0008063813649230122
1,9,0.0008146434985088042
1,10,0.0008229056320945965
1,11,0.0008353998502364992
1,12,0.0008521261529345129
1,13,0.0008688524556325263
1,14,0.0008855787583305399
1,15,0.0009023050610285535
1,16,0.000919031363726567
1,17,0.0009357576664245806
1,18,0.0009448574103821867
1,19,0.0009463305955993854
1,20,0.000947803780816584
1,21,0.0009492769660337828
1,22,0.0009507501512509816
1,23,0.0009522233364681802
1,24,0.000953696521685379
1,25,0.0009571171764899905
1,26,0.0009624853008820151
1,27,0.0009678534252740394
1,28,0.0009732215496660638
1,29,0.0009785896740580882
1,30,0.0009839577984501124
1,31,0.0009893259228421368
1,32,0.000981848650369116
1,33,0.00096152598103105
1,34,0.000941203311692984
1,35,0.000920880642354918
