,x,y,xt
0,0,0,0.0007975761657431499
1,0,1,0.0007975761657431499
2,0,2,0.0007975761657431499
3,0,3,0.0007975761657431499
4,0,4,0.000801912370302071
5,0,5,0.0008105847794199133
6,0,6,0.0008192571885377555
7,0,7,0.0008279295976555977
8,0,8,0.0008366020067734401
9,0,9,0.0008452744158912823
10,0,10,0.0008539468250091246
11,0,11,0.0008662287422768935
12,0,12,0.0008821201676945897
13,0,13,0.0008980115931122857
14,0,14,0.0009139030185299818
15,0,15,0.0009297944439476779
16,0,16,0.0009456858693653739
17,0,17,0.0009615772947830698
18,0,18,0.0009684660598611418
19,0,19,0.0009663521645995893
20,0,20,0.0009642382693380371
21,0,21,0.0009621243740764848
22,0,22,0.0009600104788149324
23,0,23,0.0009578965835533803
24,0,24,0.0009557826882918279
25,0,25,0.0009599628374683925
26,0,26,0.0009704370310830738
27,0,27,0.0009809112246977553
28,0,28,0.0009913854183124366
29,0,29,0.001001859611927118
30,0,30,0.0010123338055417993
31,0,31,0.0010228079991564808
32,0,32,0.0010169378454788947
33,0,33,0.0009947233445090418
34,0,34,0.0009725088435391888
35,0,35,0.0009502943425693359
36,0,36,0.0009280798415994829
37,0,37,0.0009058653406296302
38,0,38,0.0008836508396597773
39,0,39,0.0008697780878003971
40,0,40,0.0008642470850514896
41,0,41,0.0008587160823025821
42,0,42,0.0008531850795536745
43,0,43,0.000847654076804767
44,0,44,0.0008421230740558595
45,0,45,0.000836592071306952
46,0,46,0.0008435898420567907
47,0,47,0.0008631163863053759
48,0,48,0.0008826429305539609
49,0,49,0.000902169474802546
50,0,50,0.0009216960190511312
51,0,51,0.0009412225632997161
52,0,52,0.0009607491075483014
53,0,53,0.0009750608382282753
54,0,54,0.0009841577553396383
55,0,55,0.0009932546724510014
56,0,56,0.001002351589562364
57,0,57,0.0010114485066737271
58,0,58,0.00102054542378509
59,0,59,0.0010296423408964529
60,0,60,0.0010328011977168582
61,0,61,0.0010300219942463054
62,0,62,0.0010272427907757529
63,0,63,0.0010244635873052005
64,0,64,0.001021684383834648
65,0,65,0.0010189051803640955
66,0,66,0.001016125976893543
67,0,67,0.001012242686957082
68,0,68,0.0010072553105547127
69,0,69,0.0010022679341523434
70,0,70,0.0009972805577499744
71,0,71,0.000992293181347605
72,0,72,0.0009873058049452359
73,0,73,0.0009823184285428666
74,0,74,0.0010308054773676926
75,0,75,0.0011327669514197142
76,0,76,0.0012347284254717356
77,0,77,0.001336689899523757
78,0,78,0.0014386513735757797
79,0,79,0.001540612847627801
80,0,80,0.0016425743216798227
81,0,81,0.0016935550587058334
82,0,82,0.0016935550587058334
83,0,83,0.0016935550587058334
84,0,84,0.0016935550587058334
85,1,0,0.0007975761657431499
86,1,1,0.0007975761657431499
87,1,2,0.0007975761657431499
88,1,3,0.0007975761657431499
89,1,4,0.000801912370302071
90,1,5,0.0008105847794199133
91,1,6,0.0008192571885377555
92,1,7,0.0008279295976555977
93,1,8,0.0008366020067734401
94,1,9,0.0008452744158912823
95,1,10,0.0008539468250091246
96,1,11,0.0008662287422768935
97,1,12,0.0008821201676945897
98,1,13,0.0008980115931122857
99,1,14,0.0009139030185299818
100,1,15,0.0009297944439476779
101,1,16,0.0009456858693653739
102,1,17,0.0009615772947830698
103,1,18,0.0009684660598611418
104,1,19,0.0009663521645995893
105,1,20,0.0009642382693380371
106,1,21,0.0009621243740764848
107,1,22,0.0009600104788149324
108,1,23,0.0009578965835533803
109,1,24,0.0009557826882918279
110,1,25,0.0009599628374683925
111,1,26,0.0009704370310830738
112,1,27,0.0009809112246977553
113,1,28,0.0009913854183124366
114,1,29,0.001001859611927118
115,1,30,0.0010123338055417993
116,1,31,0.0010228079991564808
117,1,32,0.0010169378454788947
118,1,33,0.0009947233445090418
119,1,34,0.0009725088435391888
120,1,35,0.0009502943425693359
121,1,36,0.0009280798415994829
122,1,37,0.0009058653406296302
123,1,38,0.0008836508396597773
124,1,39,0.0008697780878003971
125,1,40,0.0008642470850514896
126,1,41,0.0008587160823025821
127,1,42,0.0008531850795536745
128,1,43,0.000847654076804767
129,1,44,0.0008421230740558595
130,1,45,0.000836592071306952
131,1,46,0.0008435898420567907
132,1,47,0.0008631163863053759
133,1,48,0.0008826429305539609
134,1,49,0.000902169474802546
135,1,50,0.0009216960190511312
136,1,51,0.0009412225632997161
137,1,52,0.0009607491075483014
138,1,53,0.0009750608382282753
139,1,54,0.0009841577553396383
140,1,55,0.0009932546724510014
141,1,56,0.001002351589562364
142,1,57,0.0010114485066737271
143,1,58,0.00102054542378509
144,1,59,0.0010296423408964529
145,1,60,0.0010328011977168582
146,1,61,0.0010300219942463054
147,1,62,0.0010272427907757529
148,1,63,0.0010244635873052005
149,1,64,0.001021684383834648
150,1,65,0.0010189051803640955
151,1,66,0.001016125976893543
152,1,67,0.001012242686957082
153,1,68,0.0010072553105547127
154,1,69,0.0010022679341523434
155,1,70,0.0009972805577499744
156,1,71,0.000992293181347605
157,1,72,0.0009873058049452359
158,1,73,0.0009823184285428666
159,1,74,0.0010308054773676926
160,1,75,0.0011327669514197142
161,1,76,0.0012347284254717356
162,1,77,0.001336689899523757
163,1,78,0.0014386513735757797
164,1,79,0.001540612847627801
165,1,80,0.0016425743216798227
166,1,81,0.0016935550587058334
167,1,82,0.0016935550587058334
168,1,83,0.0016935550587058334
169,1,84,0.0016935550587058334
170,2,0,0.0007975761657431499
171,2,1,0.0007975761657431499
172,2,2,0.0007975761657431499
173,2,3,0.0007975761657431499
174,2,4,0.000801912370302071
175,2,5,0.0008105847794199133
176,2,6,0.0008192571885377555
177,2,7,0.0008279295976555977
178,2,8,0.0008366020067734401
179,2,9,0.0008452744158912823
180,2,10,0.0008539468250091246
181,2,11,0.0008662287422768935
182,2,12,0.0008821201676945897
183,2,13,0.0008980115931122857
184,2,14,0.0009139030185299818
185,2,15,0.0009297944439476779
186,2,16,0.0009456858693653739
187,2,17,0.0009615772947830698
188,2,18,0.0009684660598611418
189,2,19,0.0009663521645995893
190,2,20,0.0009642382693380371
191,2,21,0.0009621243740764848
192,2,22,0.0009600104788149324
193,2,23,0.0009578965835533803
194,2,24,0.0009557826882918279
195,2,25,0.0009599628374683925
196,2,26,0.0009704370310830738
197,2,27,0.0009809112246977553
198,2,28,0.0009913854183124366
199,2,29,0.001001859611927118
200,2,30,0.0010123338055417993
201,2,31,0.0010228079991564808
202,2,32,0.0010169378454788947
203,2,33,0.0009947233445090418
204,2,34,0.0009725088435391888
205,2,35,0.0009502943425693359
206,2,36,0.0009280798415994829
207,2,37,0.0009058653406296302
208,2,38,0.0008836508396597773
209,2,39,0.0008697780878003971
210,2,40,0.0008642470850514896
211,2,41,0.0008587160823025821
212,2,42,0.0008531850795536745
213,2,43,0.000847654076804767
214,2,44,0.0008421230740558595
215,2,45,0.000836592071306952
216,2,46,0.0008435898420567907
217,2,47,0.0008631163863053759
218,2,48,0.0008826429305539609
219,2,49,0.000902169474802546
220,2,50,0.0009216960190511312
221,2,51,0.0009412225632997161
222,2,52,0.0009607491075483014
223,2,53,0.0009750608382282753
224,2,54,0.0009841577553396383
225,2,55,0.0009932546724510014
226,2,56,0.001002351589562364
227,2,57,0.0010114485066737271
228,2,58,0.00102054542378509
229,2,59,0.0010296423408964529
230,2,60,0.0010328011977168582
231,2,61,0.0010300219942463054
232,2,62,0.0010272427907757529
233,2,63,0.0010244635873052005
234,2,64,0.001021684383834648
235,2,65,0.0010189051803640955
236,2,66,0.001016125976893543
237,2,67,0.001012242686957082
238,2,68,0.0010072553105547127
239,2,69,0.0010022679341523434
240,2,70,0.0009972805577499744
241,2,71,0.000992293181347605
242,2,72,0.0009873058049452359
243,2,73,0.0009823184285428666
244,2,74,0.0010308054773676926
245,2,75,0.0011327669514197142
246,2,76,0.0012347284254717356
247,2,77,0.001336689899523757
248,2,78,0.0014386513735757797
249,2,79,0.001540612847627801
250,2,80,0.0016425743216798227
251,2,81,0.0016935550587058334
252,2,82,0.0016935550587058334
253,2,83,0.0016935550587058334
254,2,84,0.0016935550587058334
255,3,0,0.0007975761657431499
256,3,1,0.0007975761657431499
257,3,2,0.0007975761657431499
258,3,3,0.0007975761657431499
259,3,4,0.000801912370302071
260,3,5,0.0008105847794199133
261,3,6,0.0008192571885377555
262,3,7,0.0008279295976555977
263,3,8,0.0008366020067734401
264,3,9,0.0008452744158912823
265,3,10,0.0008539468250091246
266,3,11,0.0008662287422768935
267,3,12,0.0008821201676945897
268,3,13,0.0008980115931122857
269,3,14,0.0009139030185299818
270,3,15,0.0009297944439476779
271,3,16,0.0009456858693653739
272,3,17,0.0009615772947830698
273,3,18,0.0009684660598611418
274,3,19,0.0009663521645995893
275,3,20,0.0009642382693380371
276,3,21,0.0009621243740764848
277,3,22,0.0009600104788149324
278,3,23,0.0009578965835533803
279,3,24,0.0009557826882918279
280,3,25,0.0009599628374683925
281,3,26,0.0009704370310830738
282,3,27,0.0009809112246977553
283,3,28,0.0009913854183124366
284,3,29,0.001001859611927118
285,3,30,0.0010123338055417993
286,3,31,0.0010228079991564808
287,3,32,0.0010169378454788947
288,3,33,0.0009947233445090418
289,3,34,0.0009725088435391888
290,3,35,0.0009502943425693359
291,3,36,0.0009280798415994829
292,3,37,0.0009058653406296302
293,3,38,0.0008836508396597773
294,3,39,0.0008697780878003971
295,3,40,0.0008642470850514896
296,3,41,0.0008587160823025821
297,3,42,0.0008531850795536745
298,3,43,0.000847654076804767
299,3,44,0.0008421230740558595
300,3,45,0.000836592071306952
301,3,46,0.0008435898420567907
302,3,47,0.0008631163863053759
303,3,48,0.0008826429305539609
304,3,49,0.000902169474802546
305,3,50,0.0009216960190511312
306,3,51,0.0009412225632997161
307,3,52,0.0009607491075483014
308,3,53,0.0009750608382282753
309,3,54,0.0009841577553396383
310,3,55,0.0009932546724510014
311,3,56,0.001002351589562364
312,3,57,0.0010114485066737271
313,3,58,0.00102054542378509
314,3,59,0.0010296423408964529
315,3,60,0.0010328011977168582
316,3,61,0.0010300219942463054
317,3,62,0.0010272427907757529
318,3,63,0.0010244635873052005
319,3,64,0.001021684383834648
320,3,65,0.0010189051803640955
321,3,66,0.001016125976893543
322,3,67,0.001012242686957082
323,3,68,0.0010072553105547127
324,3,69,0.0010022679341523434
325,3,70,0.0009972805577499744
326,3,71,0.000992293181347605
327,3,72,0.0009873058049452359
328,3,73,0.0009823184285428666
329,3,74,0.0010308054773676926
330,3,75,0.0011327669514197142
331,3,76,0.0012347284254717356
332,3,77,0.001336689899523757
333,3,78,0.0014386513735757797
334,3,79,0.001540612847627801
335,3,80,0.0016425743216798227
336,3,81,0.0016935550587058334
